ID,N.,Plot ID,Plot ID Fin,Forest type,Date,Village,Khmer Name,E_Name,Species,2025_X,2025_Y,2025_DBH (cm),2025_Bole Height,2025_Top_Height,2025_Living_deadTree
2025_CH3_76,76,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,7.1,4,5,1,4.19,Living tree
2025_CH3_77,77,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,7.1,4,5.6,1.43,5.03,Living tree
2025_CH1_7,7,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,6.8,9,6.5,1.62,5.3,Living tree
2025_CH3_78,78,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,9.2,1.7,7.1,1.95,5.19,Living tree
2025_CH2_35,35,CH2,CP2,Plantation,2025-01-22,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,0.7,2.5,7.5,1.56,5.93,Living tree
2025_CH1_6,6,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,6.8,9,7.9,1.72,7.64,Living tree
2025_CH3_65,65,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,3.5,3.5,8.1,1.54,6.76,Living tree
2025_CH3_71,71,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,3.4,8.5,8.3,1.98,6.39,Living tree
2025_CH1_8,8,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,6.8,9,8.6,3.2,7.41,Living tree
2025_CH3_68,68,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,1.6,5.3,8.6,1.15,6.14,Living tree
2025_CH2_38,38,CH2,CP2,Plantation,2025-01-22,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,5.2,1,9.2,2.34,4.44,Living tree
2025_CH3_64,64,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,3.5,3.5,9.6,1.48,11.1,Living tree
2025_CH3_74,74,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,7.1,4,9.9,1.3,5.98,Living tree
2025_CH3_62,62,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,0.5,3.5,10,3.22,6.25,Living tree
2025_CH2_34,34,CH2,CP2,Plantation,2025-01-22,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,0.7,2.5,10.5,1.56,3.6,Living tree
2025_CH3_75,75,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,7.1,4,10.5,1.42,5.97,Living tree
2025_CH1_5,5,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,6.8,9,10.8,2.65,7.45,Living tree
2025_CH3_67,67,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,1.6,0.7,11.4,2.18,5.9,Living tree
2025_CH3_70,70,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,3.4,8.5,11.4,3.29,6.78,Living tree
2025_CH1_3,3,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,2.7,7.2,12.2,3.81,7.59,Living tree
2025_CH3_69,69,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,3.4,8.5,12.4,1.8,7.19,Living tree
2025_CH2_33,33,CH2,CP2,Plantation,2025-01-22,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,0.7,2.5,12.6,1.56,6.47,Living tree
2025_CH1_4,4,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,5.3,7.7,12.9,2.48,7.65,Living tree
2025_CH3_66,66,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,1.6,0.7,13.4,2.96,6.54,Living tree
