"","tmt.tree.id","tmt.obs.id","database.code","tree.id","tmt.plot.id","plot.id","tmt.census.id","census.id","census.date","census.n","species.id","tmt.species.id","func.type","subplot.id","tree.coord.x","tree.coord.y","azimuth","dist.centre","d","pom","height","agb","ba","n.plot","g.plot","n.ha","tree.status","mode.death","mode.death.other","canopy.position","liana.infe","multistem","qc.pom.change","qc.repeat.dead","qc.backlife","qc.missing.d","species.cor","genus.cor","family.cor"
"1","UKR.1.10001","UKR.1.10001.4","UKR",10001,"UKR.1",1,"UKR.1.4","1.4",2015,4,1,"UKR.1",NA,10,867.076594041343,222.959269194652,NA,NA,651,130,NA,NA,332683.785,1,332683.785,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"2","UKR.1.10001","UKR.1.10001.1","UKR",10001,"UKR.1",1,"UKR.1.1","1.1",2000,1,1,"UKR.1",NA,10,867.076594041343,222.959269194652,NA,NA,592.5,130,NA,NA,275579.15625,1,275579.15625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"3","UKR.1.10001","UKR.1.10001.2","UKR",10001,"UKR.1",1,"UKR.1.2","1.2",2005,2,1,"UKR.1",NA,10,867.076594041343,222.959269194652,NA,NA,600.5,130,NA,NA,283071.19625,1,283071.19625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"4","UKR.1.10001","UKR.1.10001.3","UKR",10001,"UKR.1",1,"UKR.1.3","1.3",2010,3,1,"UKR.1",NA,10,867.076594041343,222.959269194652,NA,NA,623.5,130,NA,NA,305170.51625,1,305170.51625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"5","UKR.1.10002","UKR.1.10002.4","UKR",10002,"UKR.1",1,"UKR.1.4","1.4",2015,4,1,"UKR.1",NA,10,862.501815480375,218.517630028212,NA,NA,585.5,130,NA,NA,269106.04625,1,269106.04625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"6","UKR.1.10002","UKR.1.10002.2","UKR",10002,"UKR.1",1,"UKR.1.2","1.2",2005,2,1,"UKR.1",NA,10,862.501815480375,218.517630028212,NA,NA,547.5,130,NA,NA,235308.65625,1,235308.65625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"7","UKR.1.10002","UKR.1.10002.1","UKR",10002,"UKR.1",1,"UKR.1.1","1.1",2000,1,1,"UKR.1",NA,10,862.501815480375,218.517630028212,NA,NA,538,130,NA,NA,227213.54,1,227213.54,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"8","UKR.1.10002","UKR.1.10002.3","UKR",10002,"UKR.1",1,"UKR.1.3","1.3",2010,3,1,"UKR.1",NA,10,862.501815480375,218.517630028212,NA,NA,572,130,NA,NA,256839.44,1,256839.44,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"9","UKR.1.10003","UKR.1.10003.3","UKR",10003,"UKR.1",1,"UKR.1.3","1.3",2010,3,1,"UKR.1",NA,10,858.999718153266,214.570175813617,NA,NA,113.5,130,NA,NA,10112.56625,1,10112.56625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
"10","UKR.1.10003","UKR.1.10003.2","UKR",10003,"UKR.1",1,"UKR.1.2","1.2",2005,2,1,"UKR.1",NA,10,858.999718153266,214.570175813617,NA,NA,112.5,130,7,NA,9935.15625,1,9935.15625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae"
