"","tmt.obs.id","database.code","tmt.tree.id","tree.id","tmt.plot.id","plot.id","tmt.census.id","census.id","census.date","census.n","species.id","tmt.species.id","species.orig","genus.orig","family.orig","func.type","subplot.id","tree.coord.x","tree.coord.y","azimuth","dist.centre","d","pom","height","agb","ba","n.plot","g.plot","n.ha","tree.status","mode.death","mode.death.other","canopy.position","liana.infe","multistem"
"1","UKR.1.35146.4","UKR","UKR.1.35146",35146,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,35,783.145280649376,517.339680367891,NA,NA,65.5,130,NA,NA,3367.84625,1,3367.84625,0.1,0,NA,NA,NA,NA,NA
"2","UKR.1.21129.4","UKR","UKR.1.21129",21129,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,21,914.446933401895,409.47708459336,NA,NA,63,130,NA,NA,3115.665,1,3115.665,0.1,0,NA,NA,NA,NA,NA
"3","UKR.1.25013.4","UKR","UKR.1.25013",25013,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,25,890.767789367942,418.449797718938,NA,NA,447,130,NA,NA,156850.065,1,156850.065,0.1,0,NA,NA,NA,NA,NA
"4","UKR.1.13080.4","UKR","UKR.1.13080",13080,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,884.50527541227,290.122180736654,NA,NA,90.5,130,NA,NA,6429.34625,1,6429.34625,0.1,0,NA,NA,NA,NA,NA
"5","UKR.1.3080.3","UKR","UKR.1.3080",3080,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,3,786.741041442403,137.89568610552,NA,NA,94,130,NA,NA,6936.26,1,6936.26,0.1,0,NA,NA,NA,NA,NA
"6","UKR.1.13167.4","UKR","UKR.1.13167",13167,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,877.264732331328,295.098165784705,NA,NA,65,130,NA,NA,3316.625,1,3316.625,0.1,0,NA,NA,NA,NA,NA
"7","UKR.1.7005.2","UKR","UKR.1.7005",7005,"UKR.1",1,"UKR.1.2","1.2",2005,2,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,7,813.832766489596,200.279479490808,NA,NA,637.5,130,NA,NA,319028.90625,1,319028.90625,0.1,0,NA,NA,NA,NA,NA
"8","UKR.1.13173.4","UKR","UKR.1.13173",13173,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,884.696957814171,286.031486422248,NA,NA,66,130,NA,NA,3419.46,1,3419.46,0.1,0,NA,NA,NA,NA,NA
"9","UKR.1.23042.1","UKR","UKR.1.23042",23042,"UKR.1",1,"UKR.1.1","1.1",2000,1,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,23,802.830122626443,381.834978975954,NA,NA,395,130,NA,NA,122479.625,1,122479.625,0.1,0,NA,NA,NA,NA,NA
"10","UKR.1.13079.3","UKR","UKR.1.13079",13079,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,886.681301894395,302.303638668338,NA,NA,64.5,130,NA,NA,3265.79625,1,3265.79625,0.1,0,NA,NA,NA,NA,NA
"11","UKR.1.35147.4","UKR","UKR.1.35147",35147,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,35,781.617352951578,514.669401098478,NA,NA,62.5,130,NA,NA,3066.40625,1,3066.40625,0.1,0,NA,NA,NA,NA,NA
"12","UKR.1.27129.4","UKR","UKR.1.27129",27129,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,808.899849271105,447.462838264772,NA,NA,68.5,130,NA,NA,3683.41625,1,3683.41625,0.1,0,NA,NA,NA,NA,NA
"13","UKR.1.27131.4","UKR","UKR.1.27131",27131,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,816.892348866514,450.213175370567,NA,NA,63,130,NA,NA,3115.665,1,3115.665,0.1,0,NA,NA,NA,NA,NA
"14","UKR.1.4082.1","UKR","UKR.1.4082",4082,"UKR.1",1,"UKR.1.1","1.1",2000,1,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,4,744.678950477546,153.693772775561,NA,NA,102,130,NA,NA,8167.14,1,8167.14,0.1,0,NA,NA,NA,NA,NA
"15","UKR.1.4107.2","UKR","UKR.1.4107",4107,"UKR.1",1,"UKR.1.2","1.2",2005,2,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,4,723.531293523905,156.761997693611,NA,NA,74,130,NA,NA,4298.66,1,4298.66,0.1,0,NA,NA,NA,NA,NA
"16","UKR.1.23042.4","UKR","UKR.1.23042",23042,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,23,802.830122626443,381.834978975954,NA,NA,445,130,NA,NA,155449.625,1,155449.625,0.1,0,NA,NA,NA,NA,NA
"17","UKR.1.8118.4","UKR","UKR.1.8118",8118,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,8,724.182061600362,168.084131693494,NA,NA,64.5,130,NA,NA,3265.79625,1,3265.79625,0.1,0,NA,NA,NA,NA,NA
"18","UKR.1.13078.3","UKR","UKR.1.13078",13078,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,889.660334092906,303.7738471406,NA,NA,86.5,130,NA,NA,5873.56625,1,5873.56625,0.1,0,NA,NA,NA,NA,NA
"19","UKR.1.21134.4","UKR","UKR.1.21134",21134,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,21,911.649313440559,409.159316593233,NA,NA,81,130,NA,NA,5150.385,1,5150.385,0.1,0,NA,NA,NA,NA,NA
"20","UKR.1.21130.4","UKR","UKR.1.21130",21130,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,21,913.990946891146,406.724604181727,NA,NA,125.5,130,NA,NA,12363.94625,1,12363.94625,0.1,0,NA,NA,NA,NA,NA
"21","UKR.1.16098.4","UKR","UKR.1.16098",16098,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,16,751.703682733943,290.82149325339,NA,NA,77.5,130,NA,NA,4714.90625,1,4714.90625,0.1,0,NA,NA,NA,NA,NA
"22","UKR.1.21135.4","UKR","UKR.1.21135",21135,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,21,911.649313440559,409.159316593233,NA,NA,75,130,NA,NA,4415.625,1,4415.625,0.1,0,NA,NA,NA,NA,NA
"23","UKR.1.27142.4","UKR","UKR.1.27142",27142,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,791.490264640584,456.801740400575,NA,NA,71,130,NA,NA,3957.185,1,3957.185,0.1,0,NA,NA,NA,NA,NA
"24","UKR.1.13171.4","UKR","UKR.1.13171",13171,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,880.107902151894,286.430042696567,NA,NA,63.5,130,NA,NA,3165.31625,1,3165.31625,0.1,0,NA,NA,NA,NA,NA
"25","UKR.1.3080.4","UKR","UKR.1.3080",3080,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,3,786.741041442403,137.89568610552,NA,NA,137.5,130,NA,NA,14841.40625,1,14841.40625,0.1,0,NA,NA,NA,NA,NA
"26","UKR.1.31122.4","UKR","UKR.1.31122",31122,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,31,817.284401422747,472.053703461062,NA,NA,61,130,NA,NA,2920.985,1,2920.985,0.1,0,NA,NA,NA,NA,NA
"27","UKR.1.30180.4","UKR","UKR.1.30180",30180,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,30,828.782745516545,475.245916353941,NA,NA,62.5,130,NA,NA,3066.40625,1,3066.40625,0.1,0,NA,NA,NA,NA,NA
"28","UKR.1.4169.4","UKR","UKR.1.4169",4169,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,4,735.615205499063,129.181323522671,NA,NA,68,130,NA,NA,3629.84,1,3629.84,0.1,0,NA,NA,NA,NA,NA
"29","UKR.1.14152.4","UKR","UKR.1.14152",14152,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,14,862.028272117829,295.504592447362,NA,NA,77,130,NA,NA,4654.265,1,4654.265,0.1,0,NA,NA,NA,NA,NA
"30","UKR.1.25073.4","UKR","UKR.1.25073",25073,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,25,888.610702143125,426.301318334487,NA,NA,0,NA,NA,0,0,0,0,0,1,"4",NA,NA,NA,NA
"31","UKR.1.15096.4","UKR","UKR.1.15096",15096,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,15,794.929122719891,266.736077993749,NA,NA,64,130,NA,NA,3215.36,1,3215.36,0.1,0,NA,NA,NA,NA,NA
"32","UKR.1.29002.4","UKR","UKR.1.29002",29002,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,29,878.688348638472,461.569293000711,NA,NA,0,NA,NA,0,0,0,0,0,1,"4",NA,NA,NA,NA
"33","UKR.1.35142.4","UKR","UKR.1.35142",35142,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,35,784.382901244133,522.976366944614,NA,NA,71,130,NA,NA,3957.185,1,3957.185,0.1,0,NA,NA,NA,NA,NA
"34","UKR.1.27132.4","UKR","UKR.1.27132",27132,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,806.940377913304,450.730369318924,NA,NA,69,130,NA,NA,3737.385,1,3737.385,0.1,0,NA,NA,NA,NA,NA
"35","UKR.1.13079.4","UKR","UKR.1.13079",13079,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,886.681301894395,302.303638668338,NA,NA,0,NA,NA,0,0,0,0,0,1,"4",NA,NA,NA,NA
"36","UKR.1.13080.3","UKR","UKR.1.13080",13080,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,884.50527541227,290.122180736654,NA,NA,65,130,NA,NA,3316.625,1,3316.625,0.1,0,NA,NA,NA,NA,NA
"37","UKR.1.13061.4","UKR","UKR.1.13061",13061,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,876.495701531711,268.812342842384,NA,NA,115.5,130,NA,NA,10472.09625,1,10472.09625,0.1,0,NA,NA,NA,NA,NA
"38","UKR.1.35152.4","UKR","UKR.1.35152",35152,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,35,774.214672255063,516.174421339798,NA,NA,72,130,NA,NA,4069.44,1,4069.44,0.1,0,NA,NA,NA,NA,NA
"39","UKR.1.27144.4","UKR","UKR.1.27144",27144,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,788.104219992037,459.430182818201,NA,NA,62,130,NA,NA,3017.54,1,3017.54,0.1,0,NA,NA,NA,NA,NA
"40","UKR.1.27160.4","UKR","UKR.1.27160",27160,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,806.079318154227,456.002566290107,NA,NA,62.5,130,NA,NA,3066.40625,1,3066.40625,0.1,0,NA,NA,NA,NA,NA
"41","UKR.1.13091.4","UKR","UKR.1.13091",13091,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,905.539750250407,259.37426726463,NA,NA,62,130,NA,NA,3017.54,1,3017.54,0.1,0,NA,NA,NA,NA,NA
"42","UKR.1.7163.4","UKR","UKR.1.7163",7163,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,7,785.954114259217,190.827742185512,NA,NA,90.5,130,NA,NA,6429.34625,1,6429.34625,0.1,0,NA,NA,NA,NA,NA
"43","UKR.1.24127.4","UKR","UKR.1.24127",24127,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,24,724.712938323713,408.064369885858,NA,NA,102.5,130,NA,NA,8247.40625,1,8247.40625,0.1,0,NA,NA,NA,NA,NA
"44","UKR.1.7165.4","UKR","UKR.1.7165",7165,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,7,793.900600743591,193.840818855132,NA,NA,67.5,130,NA,NA,3576.65625,1,3576.65625,0.1,0,NA,NA,NA,NA,NA
"45","UKR.1.10138.4","UKR","UKR.1.10138",10138,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,10,861.912148965843,249.52024620438,NA,NA,65.5,130,NA,NA,3367.84625,1,3367.84625,0.1,0,NA,NA,NA,NA,NA
"46","UKR.1.4082.3","UKR","UKR.1.4082",4082,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,4,744.678950477546,153.693772775561,NA,NA,0,NA,NA,0,0,0,0,0,1,"1f",NA,NA,NA,NA
"47","UKR.1.30176.4","UKR","UKR.1.30176",30176,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,30,820.803596864153,470.944477111068,NA,NA,66,130,NA,NA,3419.46,1,3419.46,0.1,0,NA,NA,NA,NA,NA
"48","UKR.1.13078.4","UKR","UKR.1.13078",13078,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,889.660334092906,303.7738471406,NA,NA,0,NA,NA,0,0,0,0,0,1,"4",NA,NA,NA,NA
"49","UKR.1.35150.4","UKR","UKR.1.35150",35150,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,35,775.93865964956,516.529330374423,NA,NA,65.5,130,NA,NA,3367.84625,1,3367.84625,0.1,0,NA,NA,NA,NA,NA
"50","UKR.1.8067.3","UKR","UKR.1.8067",8067,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,8,730.920068075867,180.308445674749,NA,NA,90.5,130,NA,NA,6429.34625,1,6429.34625,0.1,0,NA,NA,NA,NA,NA
"51","UKR.1.27122.4","UKR","UKR.1.27122",27122,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,27,790.178912901993,448.6376351692,NA,NA,66,130,NA,NA,3419.46,1,3419.46,0.1,0,NA,NA,NA,NA,NA
"52","UKR.1.13061.3","UKR","UKR.1.13061",13061,"UKR.1",1,"UKR.1.3","1.3",2010,3,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,13,876.495701531711,268.812342842384,NA,NA,70.5,130,NA,NA,3901.64625,1,3901.64625,0.1,0,NA,NA,NA,NA,NA
"53","UKR.1.33007.4","UKR","UKR.1.33007",33007,"UKR.1",1,"UKR.1.4","1.4",2015,4,5,"UKR.5","Acer platanoides","Acer","Sapindaceae",NA,33,893.984330345887,512.603151037913,NA,NA,208,130,NA,NA,33962.24,1,33962.24,0.1,0,NA,NA,NA,NA,NA
