"","database.code","tmt.species.id","species.id","family.orig","genus.orig","species.orig","family.cor","genus.cor","species.cor"
"1","UKR","UKR.5",5,"Sapindaceae","Acer","Acer platanoides","Sapindaceae","Acer","Acer platanoides"
"2","UKR","UKR.3",3,"Sapindaceae","Acer","Acer pseudoplatanus","Sapindaceae","Acer","Acer pseudoplatanus"
"3","UKR","UKR.1",1,"Fagaceae","Fagus","Fagus sylvatica","Fagaceae","Fagus","Fagus sylvatica"
"4","UKR","UKR.2",2,"Oleaceae","Fraxinus","Fraxinus excelsior","Oleaceae","Fraxinus","Fraxinus excelsior"
"6","UKR","UKR.8",8,"Rosaceae","Prunus","Prunus avium","Rosaceae","Prunus","Prunus avium"
"7","UKR","UKR.6",6,"Fagaceae","Quercus","Quercus petraea","Fagaceae","Quercus","Quercus petraea"
"8","UKR","UKR.9",9,"Salicaceae","Salix","Salix caprea","Salicaceae","Salix","Salix caprea"
"10","UKR","UKR.7",7,"Rosaceae","Sorbus","Sorbus aria","Rosaceae","Sorbus","Sorbus aria"
"18","UKR","UKR.10",10,"Rosaceae","Sorbus","Sorbus aucuparia","Rosaceae","Sorbus","Sorbus aucuparia"
"19","UKR","UKR.4",4,"Ulmaceae","Ulmus","Ulmus glabra","Ulmaceae","Ulmus","Ulmus glabra"
