"","tmt.tree.id","tmt.obs.id","database.code","tree.id","tmt.plot.id","plot.id","tmt.census.id","census.id","census.date","census.n","species.id","tmt.species.id","func.type","subplot.id","tree.coord.x","tree.coord.y","azimuth","dist.centre","d","pom","height","agb","ba","n.plot","g.plot","n.ha","tree.status","mode.death","mode.death.other","canopy.position","liana.infe","multistem","qc.pom.change","qc.repeat.dead","qc.backlife","qc.missing.d","species.cor","genus.cor","family.cor","biomass","biomass.plot","biomass.ha","ba.ha"
"1","UKR.1.10002","UKR.1.10002.1","UKR",10002,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,862.501815480375,218.517630028212,NA,NA,538,130,38.992847609302,NA,227213.54,1,227213.54,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",2.03188458339348,2.03188458339348,0.203188458339348,22721.354
"2","UKR.1.10001","UKR.1.10001.1","UKR",10001,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,867.076594041343,222.959269194652,NA,NA,592.5,130,40.5773534914306,NA,275579.15625,1,275579.15625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",2.55412169542625,2.55412169542625,0.255412169542625,27557.915625
"3","UKR.1.10005","UKR.1.10005.1","UKR",10005,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,846.13428014617,215.174399929354,NA,NA,218,130,21.9656117736166,NA,37306.34,1,37306.34,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.238699514808762,0.238699514808762,0.0238699514808762,3730.634
"4","UKR.1.10006","UKR.1.10006.1","UKR",10006,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,839.15729537919,216.081528571279,NA,NA,921,130,46.4666666666667,NA,665869.185,1,665869.185,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",7.26742321467805,7.26742321467805,0.726742321467805,66586.9185
"5","UKR.1.10007","UKR.1.10007.1","UKR",10007,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,845.264807247825,220.86272758005,NA,NA,133,130,15.3,NA,13885.865,1,13885.865,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0739791390119204,0.0739791390119204,0.00739791390119204,1388.5865
"6","UKR.1.1001","UKR.1.1001.1","UKR",1001,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,914.689810256622,118.944908362484,NA,NA,448,130,35.7035458269304,NA,157552.64,1,157552.64,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.31651627557042,1.31651627557042,0.131651627557042,15755.264
"7","UKR.1.10010","UKR.1.10010.1","UKR",10010,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,861.90759236867,229.610324653011,NA,NA,320,130,32.3,NA,80384,1,80384,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.592945955544845,0.592945955544845,0.0592945955544845,8038.4
"8","UKR.1.10012","UKR.1.10012.1","UKR",10012,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,859.777953529388,232.45080821743,NA,NA,689,130,42.7848695738283,NA,372655.985,1,372655.985,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",3.65249020508465,3.65249020508465,0.365249020508465,37265.5985
"9","UKR.1.10013","UKR.1.10013.1","UKR",10013,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,857.108683397367,234.312970353023,NA,NA,432,130,35.0171976132901,NA,146499.84,1,146499.84,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.20777029147142,1.20777029147142,0.120777029147142,14649.984
"10","UKR.1.10014","UKR.1.10014.1","UKR",10014,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,857.304251025479,235.487818024798,NA,NA,494,130,37.4992700154135,NA,191568.26,1,191568.26,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.65979968419976,1.65979968419976,0.165979968419976,19156.826
"11","UKR.1.10003","UKR.1.10003.1","UKR",10003,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,858.999718153266,214.570175813617,NA,NA,109.5,130,7,NA,9412.34625,1,9412.34625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0466596722020026,0.0466596722020026,0.00466596722020026,941.234625
"12","UKR.1.10004","UKR.1.10004.1","UKR",10004,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,852.653276652959,214.906508513868,NA,NA,736.5,130,43.6412205887723,NA,425809.31625,1,425809.31625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.27785733040809,4.27785733040809,0.427785733040809,42580.931625
"13","UKR.1.15050","UKR.1.15050.1","UKR",15050,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,15,779.976837002795,290.248170029377,NA,NA,140,130,14.1,NA,15386,1,15386,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0835444672390867,0.0835444672390867,0.00835444672390867,1538.6
"14","UKR.1.10028","UKR.1.10028.1","UKR",10028,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,839.11851944208,253.117200876177,NA,NA,109,130,11.888885239787,NA,9326.585,1,9326.585,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0461561768301871,0.0461561768301871,0.00461561768301871,932.6585
"15","UKR.1.1003","UKR.1.1003.1","UKR",1003,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,908.436002698477,117.797778888967,NA,NA,887,130,45.6110719089113,NA,617613.665,1,617613.665,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",6.64743815726915,6.64743815726915,0.664743815726915,61761.3665
"16","UKR.1.10031","UKR.1.10031.1","UKR",10031,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,824.364402188735,243.442865261771,NA,NA,408,130,33.9232489591915,NA,130674.24,1,130674.24,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.05472090775161,1.05472090775161,0.105472090775161,13067.424
"17","UKR.1.10032","UKR.1.10032.1","UKR",10032,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,818.182998409701,244.73021759681,NA,NA,723.5,130,43.4200147608204,NA,410910.01625,1,410910.01625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.10101695348595,4.10101695348595,0.410101695348595,41091.001625
"18","UKR.1.10033","UKR.1.10033.1","UKR",10033,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,823.106443064686,238.265828410442,NA,NA,445,130,35.5773896132388,NA,155449.625,1,155449.625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.29571299531829,1.29571299531829,0.129571299531829,15544.9625
"19","UKR.1.10034","UKR.1.10034.1","UKR",10034,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,830.714279604245,239.20259229115,NA,NA,740.5,130,43.7073921534339,NA,430447.09625,1,430447.09625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.33313965649811,4.33313965649811,0.433313965649811,43044.709625
"20","UKR.1.10035","UKR.1.10035.1","UKR",10035,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,837.070805874902,240.662828532516,NA,NA,645,130,41.8634195211933,NA,326579.625,1,326579.625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",3.12355265927127,3.12355265927127,0.312355265927127,32657.9625
"21","UKR.1.10036","UKR.1.10036.1","UKR",10036,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,837.11326524165,233.08565170319,NA,NA,752.5,130,43.9007237571124,NA,444511.15625,1,444511.15625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.50145477771086,4.50145477771086,0.450145477771086,44451.115625
"22","UKR.1.10037","UKR.1.10037.1","UKR",10037,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,835.23766080289,231.095861007936,NA,NA,379.5,130,32.5177190498413,NA,113055.89625,1,113055.89625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.888353911086185,0.888353911086185,0.0888353911086185,11305.589625
"23","UKR.1.10038","UKR.1.10038.1","UKR",10038,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,834.078946848399,227.725417135054,NA,NA,349,130,30.8764294981727,NA,95613.785,1,95613.785,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.728330554576612,0.728330554576612,0.0728330554576612,9561.3785
